city,N,rho_lap,rho_lgbm,rho_combined
Bluebikes Boston,493,0.8865033746871126,0.8003242391687498,0.8374263486580468
Capital Bikeshare DC,765,0.891936174805928,0.7651312934992299,0.8281145747551169
Divvy Chicago,1337,0.7445242861050704,0.5845448786129855,0.6868001162984367
Bay Wheels SF,552,0.8407012174186024,0.6439975607750165,0.7207529427712486
BIXI Montréal,717,0.8553581122850052,0.8270366382529952,0.8393118306447473
