station_id,n_bins,true_mean,pred_no_imd_mean,pred_fe_mean,pred_imd_mean,fold
A32000,9349,2.769387100224623,2.4919552163968195,1.2652641862066416,2.6610238272420896,1
A32050,4705,1.4835281615302869,2.5714706744700075,1.2882970857906841,1.5336764601603252,1
A32055,3892,1.7194244604316546,2.579586196930662,1.2920233243264885,1.779687584014277,1
A32056,9962,2.6430435655490867,2.42107634675919,1.2418358330989467,1.927127474185903,1
B32003,12343,3.406222150206595,2.3726208765192336,1.2353379985821786,2.16767831731082,1
B32005,18529,5.809217982621836,2.182374224994525,1.199848216186062,2.8945097867672165,1
B32015,16753,4.93804094788993,2.252437490150493,1.2148075002779635,3.6729702182901627,1
B32055,7970,1.682685069008783,2.386341195020206,1.2446364725108272,1.3830009909325598,1
B32063,14870,2.7299260255548083,2.2418845995078445,1.2127924659370093,2.149608990186911,1
C32013,8288,1.745415057915058,2.443294899493831,1.2574474867745402,1.4554467403673912,1
C32041,4595,1.344069640914037,2.471883516512411,1.265480864463997,1.417519988934371,1
C32050,860,1.1534883720930234,2.5291299266380878,1.277581529745888,1.243317815535,1
C32059,1621,1.1511412708204811,2.4344698850755027,1.2592980670349219,1.3222008282322952,1
C32062,3594,1.2303839732888147,2.454148642352875,1.2635458645454583,1.2908671047030673,1
C32064,6219,1.4667953047113684,2.460911050947197,1.2536421532723114,1.327176965060024,1
C32080,1095,1.184474885844749,2.592845833820342,1.297324281986444,1.741397542683482,1
C32099,1890,1.4693121693121693,2.616026631729292,1.2981174394243418,1.6112878824971573,1
C32104,1367,1.1843452816386246,2.3997073582156165,1.2525478681958744,1.2771166796547821,1
C32110,885,1.1322033898305084,2.6014665989090724,1.2791190801838053,1.596373138474574,1
C32111,1522,1.1287779237844942,2.3069902278240315,1.2271752453043885,1.2922895792929547,1
D32009,10102,2.640566224509998,2.4335169675264656,1.258745862054979,2.713694014894491,1
D32010,17014,4.424591512871753,2.2112401913666435,1.207516998043542,3.5522817292667197,1
D32031,7867,1.6777678911910512,2.431574120033749,1.2585810743443338,1.3964968846142822,1
D32043,12028,2.320751579647489,2.363842232927246,1.2340328944238643,3.0680670300255235,1
E32006,11613,2.2596228364763626,2.333979799772715,1.232439417494218,1.7139343047040867,1
E32016,8022,2.0721765145848914,2.287498452046436,1.2247337930591673,2.3447695996878783,1
F32003,4352,1.3444393382352942,2.4957795311181377,1.267973533680255,1.2894148120458775,1
K32002,9247,1.8091272845247106,2.3691666799692186,1.2438451907870667,1.3761774827206923,1
K32015,10157,2.2094122280200845,2.3375434612958683,1.2369536730261572,2.561377185163591,1
L32005,5332,1.5390097524381094,2.549883384243285,1.2845289220605174,1.895354090886637,1
M32018,18098,8.785335396176373,2.210827367195939,1.2059272390761726,2.418985781031151,1
M32023,13810,3.4060825488776247,2.344694138127201,1.2319288757840814,3.2572757751189454,1
M32036,7369,1.6748541186049668,2.4887810047419703,1.2674875563008126,1.8663776917024166,1
M32037,14769,7.874128241587108,2.3296408747491437,1.2298641523621996,3.0987293240971554,1
M32054,9620,2.158212058212058,2.4516877050131236,1.258766910931056,1.361975353055704,1
M32056,11219,2.042249754880114,2.383199969864865,1.2439091303438872,2.0166385688091597,1
M32058,3811,1.4093413802151666,2.611622265939889,1.2978099437008814,1.5093126405515125,1
M32070,15803,4.336644940834018,2.269231727229394,1.2175024863255348,3.865536889871579,1
M32071,14602,4.660525955348582,2.3109097223627004,1.2256745752587401,3.8296140086620074,1
M32088,6923,1.9204102267802976,2.438158905954163,1.2535559289640348,3.1123324610938243,1
M32093,572,1.1083916083916083,2.7006735886603064,1.2994672838773653,1.5575629210914737,1
S32017,7524,1.5645933014354068,2.441025064028248,1.2576370166118036,1.8311400203312083,1
S32023,13578,3.0099425541316838,2.3708262524121912,1.2396569126241574,2.6482800015719814,1
S32046,9279,1.930703739627115,2.3748583850560157,1.244169193649452,1.7514050776162013,1
S32055,2708,1.4449778434268834,2.541482938091137,1.281803520484876,1.7290940255087732,1
