,M_mean,I_mean,T_mean,D_mean
M_mean,1.0,0.26119469331543965,-0.13655684676785837,0.32395359697663384
I_mean,0.26119469331543965,1.0,-0.2281037736069425,0.18392614455234935
T_mean,-0.13655684676785837,-0.2281037736069425,1.0,-0.25882981790314197
D_mean,0.32395359697663384,0.18392614455234935,-0.25882981790314197,1.0
