city_slug,country,city,n_stations,mean_M,mean_I,mean_T,mean_D,imd4_mean,imd4_p10,imd4_p50,imd4_p90
world_it_milan_bikemi,IT,milan_bikemi,318,4.918238993710692,12.424528301886792,2.7811466904032103,20.534591194968552,1.800578586657744,-0.4259995051019521,1.3207492502666347,4.53578772560408
world_de_movemix_bike,DE,movemix_bike,89,3.831460674157303,7.865168539325842,4.717524687173398,14.292134831460674,1.286233866191068,-0.35689626781136724,1.3104233111321093,3.148454048490188
world_jp_cyclocity,JP,cyclocity,24,3.7916666666666665,0.20833333333333334,2.9263930479095936,10.083333333333334,1.1975813012604986,-0.4883334263319343,0.6215177720777285,4.402169838010891
world_de_nextbike_kassel,DE,nextbike_kassel,65,3.292307692307692,11.415384615384616,10.36825104613376,6.676923076923077,1.0872979321615093,-0.4430621002655145,0.5579968984006514,3.151157280945258
world_cz_nextbike_praha,CZ,nextbike_praha,1489,2.7347212894560107,4.422431161853593,5.417030632970633,75.10275352585629,0.9580719343602553,-0.39378126415962156,0.8114029240287299,2.4594438348642913
world_at_stadtrad_innsbruck_austria,AT,stadtrad_innsbruck_austria,55,2.8727272727272726,14.963636363636363,3.1625865707029432,11.89090909090909,0.8835769553428962,-0.4816200925705595,0.6084036464862922,2.7075827466085767
world_fr_v_lomagg,FR,v_lomagg,52,2.7884615384615383,8.538461538461538,6.912863897385043,7.576923076923077,0.8230828453511412,-0.41290776596809603,0.49566060657029243,1.9129046190530756
world_be_velo_antwerpen,BE,velo_antwerpen,321,2.641744548286604,15.358255451713395,1.9976118154725653,18.98442367601246,0.7949897061673192,-0.45984647020319414,0.48155241982919306,2.392152872600029
world_be_villo,BE,villo,348,2.413793103448276,7.632183908045977,8.607392187514774,10.408045977011493,0.6716580835634044,-0.44185998442961116,0.47084974969526094,2.2331002182374724
world_ca_bike_share_toronto,CA,bike_share_toronto,1033,2.2749273959341725,5.242013552758954,5.556107883413143,24.61568247821878,0.6140280290806537,-0.48983548154690515,-0.009587647478353035,2.6794417117701963
world_de_die_gr_ne_flotte,DE,die_gr_ne_flotte,279,2.053763440860215,15.451612903225806,6.062798618992459,11.412186379928315,0.542158990947106,-0.4703448215606496,0.43655292385566236,1.898480396456284
world_ch_velospot,CH,velospot,1634,1.9106487148102815,4.7105263157894735,13.338552260901396,22.268053855569157,0.499490266628878,-0.46224018565333613,-0.07195162261205384,2.3876822828955206
world_pl_veturilo_3_0,PL,veturilo_3_0,344,1.941860465116279,17.953488372093023,3.1405586075684044,6.406976744186046,0.4712865921345712,-0.48662229533636236,0.09769002304363886,1.9784810798176233
world_fr_montenv_lo,FR,montenv_lo,21,0.19047619047619047,2.380952380952381,123.08875799051263,0.9523809523809523,0.46918832700501995,-0.3395792713988756,0.3872163109361029,1.1433627706806595
world_de_swabi_augsburg,DE,swabi_augsburg,527,1.8519924098671727,12.299810246679318,2.349067354447257,32.891840607210625,0.46805682842710056,-0.4734626253874344,0.0094963973566006,2.0214159247812384
world_cz_nextbike_liberec,CZ,nextbike_liberec,51,1.9803921568627452,2.2549019607843137,9.93369399324839,13.607843137254902,0.4658168771570727,-0.4256334902995062,0.0668124330309595,1.7909164404121365
world_at_city_bike_linz,AT,city_bike_linz,50,1.72,23.22,3.245875738298245,18.64,0.439953754598522,-0.4560599784758423,-0.004829336966018484,1.7898414325418366
world_de_bre_bike,DE,bre_bike,108,1.9537037037037037,12.287037037037036,3.0620714077207456,4.018518518518518,0.4353484667714784,-0.48724607713187357,0.4067424601587574,1.435522861395597
world_fr_v_lhop_strasbourg,FR,v_lhop_strasbourg,39,1.8717948717948718,19.256410256410255,2.7617941389091456,1.3846153846153846,0.43061519666718934,-0.4106885723446097,0.48059974167129915,1.381029888116032
world_pl_wrm_nextbike_poland,PL,wrm_nextbike_poland,263,1.7946768060836502,22.03802281368821,2.0050390078877944,4.813688212927756,0.41716059436251995,-0.5160662906954675,-0.005402228293967283,1.9562735723391538
world_fr_naolib,FR,naolib,123,1.6504065040650406,15.040650406504065,5.385300259095134,21.089430894308943,0.3831236972388033,-0.45233585066451254,-0.21342273420827418,1.590554594606009
world_de_frelo,DE,frelo,161,1.6645962732919255,15.031055900621118,9.861905285569833,5.180124223602484,0.3766147460630821,-0.46925818988257734,-0.011543636021497071,1.7619542692133838
world_hr_bajs_zagreb_croatia,HR,bajs_zagreb_croatia,201,1.6169154228855722,16.00497512437811,3.254698661407694,7.7611940298507465,0.3198554266042012,-0.5006875438444445,-0.05445149747467863,1.59161286426217
world_fr_v_lo_fluo_grand_est,FR,v_lo_fluo_grand_est,52,1.0769230769230769,8.48076923076923,42.117298832930196,0.0,0.299362156438613,0.009364081253863761,0.20006650469714032,0.5496722838606986
world_es_bilbao_bizi,ES,bilbao_bizi,48,1.4791666666666667,4.208333333333333,17.90585327470861,7.208333333333333,0.2948839413061476,-0.38316741954784944,0.06370925430713842,1.399102003443424
world_fr_le_v_lo_par_tbm,FR,le_v_lo_par_tbm,228,1.6228070175438596,6.37280701754386,3.9358524557502115,14.140350877192983,0.28850616858129036,-0.4900108209455093,0.40129361581067347,1.382745999173537
world_es_bicing,ES,bicing,545,1.1706422018348623,26.607339449541286,7.205469409596009,29.779816513761467,0.2770319181211286,-0.3939249223679192,0.15489494755637154,1.098199822990883
world_de_nextbike_berlin,DE,nextbike_berlin,1456,1.4423076923076923,13.746565934065934,2.620956154055544,25.343406593406595,0.2746745965239248,-0.4682003473526027,0.03416246577115778,1.4476881258796426
world_fr_v_lib_metropole,FR,v_lib_metropole,1511,1.2839179351422898,14.162806088682991,5.7180162587209376,27.13567174056916,0.23471224512928876,-0.44780170100370054,0.08161345448432518,1.1219266450177336
world_us_tugo,US,tugo,41,1.4390243902439024,7.7073170731707314,5.888224683432814,6.2439024390243905,0.20636380954100686,-0.47545115676252425,-0.39502306400992576,1.4008354725210392
world_ie_dublinbikes,IE,dublinbikes,117,1.2393162393162394,11.615384615384615,3.041515083246775,24.068376068376068,0.1711033423748309,-0.43028775063242464,0.04783700980865556,1.1374876874025892
world_us_biketown,US,biketown,274,1.094890510948905,22.361313868613138,8.031444484264679,9.773722627737227,0.16652612400424646,-0.4576239547854006,-0.35494197765139507,1.7092630933317137
world_hr_emobi,HR,emobi,26,1.5,2.1538461538461537,2.2802460016880555,2.076923076923077,0.1617784581093617,-0.5201478752912461,-0.02635202889752543,1.2642814631763166
world_fr_v_lozef,FR,v_lozef,46,1.1521739130434783,5.260869565217392,20.3398042456508,2.6956521739130435,0.16064763972465693,-0.41835504417714553,-0.21422900997352287,0.8027751667928156
world_fr_lev_lo_marseille,FR,lev_lo_marseille,228,1.1929824561403508,8.425438596491228,10.582170611501153,14.263157894736842,0.15892455381373588,-0.44249873636017534,-0.33564085448187087,1.4402997126173038
