rho_imd_only,rho_hks_only,rho_imd_hks,city,slug,N
0.8003242391687498,0.599645781314357,0.8073738370564019,Bluebikes Boston,boston_bluebikes,493
0.7729636988288725,0.7233752582256181,0.791245527110211,Capital Bikeshare DC,dc_capitalbikeshare,765
0.5699004618117752,0.4575183282477771,0.6264321652679725,Divvy Chicago,chicago_divvy,1337
0.6558695934608308,0.39523470624996737,0.6701264149782357,Bay Wheels SF,sf_baywheels,552
0.8251093025198368,0.7125718895457324,0.8312897499867801,BIXI Montréal,montreal_bixi,717
