SFR,rho_inf,rho_inf_se,n_star,n_star_se
0.0,0.8174218231303202,0.023075558916076117,28.43325300173994,10.219306455034044
0.2,0.7942688285507595,0.025989419153019458,31.436716326133098,11.775505301912451
0.5,0.8015693628367201,0.025602729563655384,47.21586735779226,17.74135016934231
1.0,0.8003895148240189,0.029511336448099182,64.78417569591569,20.077274124778597
2.0,0.7828818698511111,0.029838477321514807,73.90937982114964,23.04063067803184
