index,n_matched,spearman_rho,spearman_p,spearman_ci_lo,spearman_ci_hi,pearson_r,pearson_p
Copenhagenize 2019,10,0.14589733048321551,0.6875567115411833,-0.6155063291139241,0.9200519480519479,-0.01993038554376103,0.956419595393376
ECF Cycling 2019,17,-0.2170447986127191,0.40271743527084625,-0.621756993719925,0.3784786098122686,-0.33388097808210726,0.1902846258856178
