city,N,IMD_only,Eig50_only,GA_IMD_K10,GA_IMD_K20,GA_IMD_K50,Lap
Bluebikes Boston,493,0.8003242391687498,0.8520505028356167,0.8568833021439082,0.8742345438088407,0.8673202258297311,0.8848924941278221
Capital Bikeshare DC,765,0.7729636988288725,0.8639307562713185,0.8700199178993031,0.8718987151973526,0.8801055595954603,0.8953614565402122
Divvy Chicago,1337,0.5699004618117752,0.7334610167568518,0.6854337978916474,0.7132555624977756,0.7380136597514569,0.7500674648563638
Bay Wheels SF,552,0.6558695934608308,0.8269474711959047,0.8102178873520574,0.8386143733064634,0.8401197502578645,0.8505697725957305
BIXI Montréal,717,0.8251093025198368,0.8267975788262402,0.8281985801837185,0.8418983085632222,0.8425643945370483,0.8485987395381018
