model,r2,r2_lo,r2_hi
ref_A,0.04157681946821412,0.02873368186032684,0.05868913650454643
ref_C,0.3109249639188334,0.27897454862035653,0.33837905055906636
C_T_zeroed,0.30919482860262215,0.27568476135369185,0.3399833559620185
C_minus_network,0.1503243921099039,0.13127254652712436,0.16991485372901732
