station_id,n_bins,true_mean,pred_no_imd_mean,pred_imd_mean,true_total,pred_no_imd_total,pred_imd_total,fold
30200.0,11989,2.9322712486445908,2.1685418238224097,2.7339115823591307,35155,25998.647925806872,32776.86596090362,1
31005.0,13821,1.9824180594747125,2.180240930462936,1.6503108316807058,27399,30133.109899928237,22808.946004659036,1
31006.0,12566,1.7749482731179373,2.184150222778658,1.4370158722538207,22304,27446.03169943662,18057.54145074151,1
31009.0,7189,1.4673807205452776,2.186257183454623,1.9504232070609375,10549,15717.002891855283,14021.59243556108,1
31012.0,4875,1.321846153846154,2.234299680074929,1.80252101649908,6444,10892.210940365278,8787.289955433014,1
31014.0,13114,1.9416653957602563,2.171093362900235,2.6008685154974365,25463,28471.718361073683,34107.78971223338,1
31025.0,7973,1.4861407249466951,2.25086621615162,1.3868999872780776,11849,17946.156341376867,11057.753598568113,1
31028.0,4621,1.2893313135684916,2.231214151986958,1.6475210792009736,5958,10310.440596331733,7613.194906987699,1
31029.0,8630,1.4640787949015064,2.189893683707121,2.591126395118633,12635,18898.782490392452,22361.420789873802,1
31030.0,11902,1.5882204671483784,2.127869331941369,1.7830204391835736,18903,25325.900788766176,21221.50926716289,1
31036.0,5549,1.335195530726257,2.2112513938902265,1.4927680221145956,7409,12270.233984696868,8283.36975471389,1
31038.0,6914,1.3581139716517212,2.2210950199292396,1.318956044948296,9390,15356.650967790762,9119.262094772519,1
31048.0,5629,1.3497957008349617,2.239742228109322,1.5847038318115347,7598,12607.509002027375,8920.29786926713,1
31051.0,5549,1.2996936384934223,2.149133364270343,1.9606523392189612,7212,11925.541038336134,10879.659830326016,1
31055.0,5277,1.3628955846124693,2.209831338613323,2.5048710160163377,7192,11661.279973862505,13218.204351518214,1
31061.0,2888,1.189404432132964,2.118668221207864,1.3156696508737884,3435,6118.713822848312,3799.653951723501,1
31066.0,3167,1.3002841806125671,2.2322850044900227,1.7497485036200622,4118,7069.646609219902,5541.453510964737,1
31071.0,14094,2.022633744855967,2.1662141596078937,2.067522533297259,28507,30530.622365513653,29139.662584291567,1
31077.0,10704,2.0071935724962633,2.1923292166558896,1.7687316718753137,21485,23466.691935084644,18932.503815753356,1
31083.0,4696,1.350511073253833,2.2420766754659893,1.333753988282514,6342,10528.792067988286,6263.308728974685,1
31086.0,5482,1.377417001094491,2.2430890406825945,1.326876077299641,7551,12296.614121021983,7273.934655756632,1
31091.0,8749,1.4783403817579153,2.147322226128296,1.4024366889358033,12934,18786.92215639646,12269.918591499343,1
31092.0,4829,1.295713398219093,2.2614856633552574,1.1975563572696015,6257,10920.714268342537,5782.999649254905,1
31096.0,4424,1.2264918625678118,2.150079585570084,1.4114096975200552,5426,9511.95208656205,6244.076501828724,1
31098.0,9157,1.5130501255869826,2.1535581719795043,1.466847254780426,13855,19720.13218081632,13431.920312024362,1
31100.0,10433,2.3489887855842038,2.2232534746800523,2.3580615417376496,24507,23195.203501336986,24601.6560649489,1
31101.0,26905,5.2661958743727935,1.993663383596361,2.297321551274053,141687,53639.51333566009,61809.43633702839,1
31108.0,23732,3.92621776504298,2.056006538318663,1.6338904609366949,93177,48793.147167378505,38775.488418949644,1
31116.0,23480,3.6028109028960817,2.0420542336787975,2.272283255098551,84594,47947.43340677816,53353.21082971398,1
31117.0,22410,3.0865684962070503,2.012489756402334,2.2673194168348947,69170,45099.89544097631,50810.62813126999,1
31132.0,23260,3.082201203783319,2.0411585210219236,2.2378903623381308,71692,47477.34719896994,52053.32982798492,1
31137.0,12274,1.9430503503340395,2.1166203415010334,1.2629910558139232,23849,25979.398071583684,15501.952219060093,1
31209.0,17664,2.7223165760869565,2.1004394560723396,1.707664917444619,48087,37102.16255206181,30164.193101741752,1
31212.0,24128,3.7475132625994694,2.0438033644965357,2.085656575528613,90420,49312.88757857241,50322.72185435437,1
31213.0,21176,3.5807517944843217,2.0933729256616544,2.158143636114364,75826,44329.26507381119,45700.84963835777,1
31214.0,24881,4.320847232828262,2.0378771616707976,2.9286351154863994,107507,50704.421659531115,72867.3703084171,1
31226.0,17076,2.2711993441086906,2.1149966034911087,1.3153069631111907,38783,36115.682001214176,22460.18170208669,1
31233.0,18427,3.3172518586856246,2.1235560932538045,2.188862775253244,61127,39130.768130387856,40334.17435959153,1
31235.0,9770,2.8410440122824974,2.255686417830821,3.712074528209738,27757,22038.05630220712,36266.96814060914,1
31241.0,25310,3.4795732911892534,1.9973466926336054,2.5811520327945807,88068,50552.844790556555,65328.95795003084,1
31242.0,13047,3.1762090902123092,2.186868548121834,2.6585613330781928,41440,28532.073947345572,34686.24971267118,1
31247.0,18389,6.2587960193594,2.148594347289891,1.9309897489493975,115093,39510.50145231381,35508.97049343047,1
31255.0,16841,2.235674841161451,2.134689630006759,2.6356822189272773,37651,35950.30805894383,44387.52424895428,1
31279.0,12254,2.806267341276318,2.187067381374293,2.7077894321759612,34388,26800.323691360583,33181.251701884226,1
31281.0,25898,4.300679589157464,2.007770047631738,2.195931678075053,111379,51997.22869356675,56870.23859878771,1
31287.0,11438,2.7364049659031298,2.239165906865865,2.3440196560818585,31299,25611.579642731762,26810.8968262643,1
31299.0,21770,3.122416169039963,2.0795461662644388,2.252227003782265,67975,45271.72003957683,49030.98187233991,1
31300.0,13075,1.7447036328871892,2.167849715002236,1.2350640123403442,22812,28344.635023654235,16148.46196135,1
31303.0,14709,1.9341899517302332,2.1302218096377366,1.220829591574195,28450,31333.432597961466,17957.182462464832,1
31305.0,13508,1.712762807225348,2.1471194398674065,1.4281643673043531,23136,29003.289393728926,19291.6442735472,1
31310.0,11787,1.5667260541274286,2.14143501594448,1.3321180302579145,18467,25241.094532937583,15701.67522265004,1
31312.0,20950,3.1929355608591887,2.0933072428792263,1.5070033367132434,66892,43854.78673831979,31571.71990414245,1
31321.0,15198,4.265956046848269,2.186163780101637,2.926852995606714,64834,33225.31712998468,44482.31182723084,1
31322.0,5572,1.381191672648959,2.236239549910097,1.261760401572594,7696,12460.32677209906,7030.528957562494,1
31381.0,261,1.1685823754789273,2.2486983860046093,1.3093351208839679,305,586.910278747203,341.7364665507156,1
31386.0,822,1.1399026763990268,2.275142926343105,1.2131595790468206,937,1870.1674854540324,997.2171739764866,1
31394.0,3920,1.3303571428571428,2.162393978687835,1.3392401380436967,5215,8476.584396456314,5249.821341131291,1
31411.0,11158,1.5398816992292526,2.118959413048352,1.3443856761689523,17182,23643.34913079351,15000.65537469317,1
31416.0,6590,1.3869499241274659,2.187689147575661,1.2149492554212964,9140,14416.871482523604,8006.515593226343,1
31424.0,8094,1.523597726711144,2.130939688081356,1.4431919069289099,12332,17247.825835330495,11681.195294682597,1
31506.0,23581,3.151774733895933,2.0234803228516602,1.924211028833152,74322,47715.689493164995,45374.820270914555,1
31508.0,7784,1.4776464542651593,2.1978256090324746,2.091683040725104,11502,17107.87454070878,16281.66078900421,1
31511.0,8920,1.49304932735426,2.207450421813735,1.573224146637245,13318,19690.457762578517,14033.159388004226,1
31516.0,13452,1.6993012191495689,2.126159628648834,1.9710460668676941,22859,28601.099324584113,26514.51169150422,1
31523.0,12469,1.8655866549041624,2.144328117577547,1.8059093991106394,23262,26737.627298074432,22517.88429751056,1
31525.0,8477,1.5093783178011089,2.196224112681853,1.7716147191266924,12795,18617.391803204067,15017.977974036972,1
31533.0,19179,3.247406016997758,2.0606706463716415,2.450614351990477,62282,39521.60232676171,47000.33265682536,1
