city_slug,country,n_stations,M_mean,M_std,I_mean,I_std,T_mean,T_std,D_mean,D_std
world_ae_careem_bike,AE,225,0.38666666666666666,0.8381527307120104,1.1422222222222222,1.8938916011285853,3.4057418611461165,1.8826837019411966,7.022222222222222,7.043515536371812
world_ar_bike_nordelta,AR,21,0.0,0.0,0.0,0.0,1.1739796411573515,0.28435961783533636,4.095238095238095,2.0953463175513947
world_ar_ecobici,AR,392,0.49489795918367346,0.9018165752197577,3.568877551020408,3.596723539592947,4.467586594052068,2.6990680638798437,7.622448979591836,3.788568904641481
world_ar_mibicitubici,AR,99,0.06060606060606061,0.23982058847557647,0.6363636363636364,1.9296533761620454,3.2181655770379267,2.7301372125905883,3.9797979797979797,1.9793824948231213
world_at_city_bike_linz,AT,50,1.72,2.2409910344145803,23.22,19.99825502591745,3.245875738298245,1.8605163567684315,18.64,8.606499679584836
world_at_nextbike_klagenfurt_austria,AT,50,0.14,0.3505098327538656,10.28,8.910072264303025,3.103070663315393,1.5548976140816824,7.04,6.236691954122173
world_at_stadtrad_innsbruck_austria,AT,55,2.8727272727272726,2.5966826804137892,14.963636363636363,13.460454612821902,3.1625865707029437,1.4715357312742967,11.89090909090909,7.319868262507965
world_at_vvt_regiorad_tirol,AT,21,0.09523809523809523,0.30079260375911915,5.809523809523809,5.036060440652471,7.2539354258981295,3.029429299182454,8.285714285714286,3.0355041944108256
world_be_blue_bike,BE,276,0.7789855072463768,1.4314876126756186,14.007246376811594,13.182355356825395,6.105633493656313,6.688944346618568,0.6521739130434783,1.3811835447143597
world_be_li_bia_velo,BE,27,0.14814814814814814,0.3620139928982457,10.185185185185185,8.580106853544052,4.2700835628034675,2.5091557873902417,9.037037037037036,3.956314149864954
world_be_velo_antwerpen,BE,321,2.641744548286604,3.3493472419324486,15.358255451713395,12.681901550912642,1.9976118154725655,1.0662208350842663,18.98442367601246,11.98995961711038
world_be_villo,BE,348,2.413793103448276,2.4731490578907613,7.632183908045977,8.692459142110586,8.607392187514774,4.534890136263086,10.408045977011493,5.338689590660844
world_br_bike_brasilia,BR,70,0.22857142857142856,0.7833674720546494,3.0428571428571427,4.308521096300572,12.11864732426302,4.679290005770717,5.571428571428571,2.458769744047683
world_br_bike_est_cio,BR,51,0.0392156862745098,0.28005601680560194,7.235294117647059,8.769465742664414,7.0181686836207176,4.587310158994085,6.784313725490196,4.91655865617485
world_br_bike_ita_pernambuco,BR,90,0.011111111111111112,0.10540925533894599,0.9666666666666667,1.2847419187341902,3.0761613691971776,1.430764747028844,7.644444444444445,5.195743960769012
world_br_bike_ita_rio,BR,406,0.5665024630541872,1.2897549135517785,2.251231527093596,3.4727775144373076,6.470369533140017,4.340260318321664,16.142857142857142,7.394978991566798
world_br_bike_ita_salvador,BR,74,0.04054054054054054,0.19856948607402855,1.3108108108108107,1.7195545431101744,9.801462445130095,7.36012834100814,3.4324324324324325,1.7910055420172402
world_br_bike_ita_sampa,BR,240,0.25416666666666665,0.5392379301641851,3.7625,5.59866335661943,6.845606135361424,4.619624499529669,16.091666666666665,11.237263051678024
world_br_bike_porto_alegre,BR,90,0.022222222222222223,0.1482313540789697,5.466666666666667,6.009729938406906,6.883760227581894,4.159362069746048,9.955555555555556,5.4026857888307696
world_ca_bike_share_toronto,CA,1033,2.2749273959341725,2.8857308365141767,5.242013552758954,6.251937421557574,5.5561078834131425,4.111590741955653,24.61568247821878,25.867664595997454
world_ca_bixi_montr_al,CA,1057,0.27625354777672656,0.6164828483577741,11.049195837275308,11.939455924820871,4.518362817675837,4.062241612105886,23.68211920529801,22.818644192358217
world_ca_mobi_bike_share,CA,263,0.22433460076045628,0.598229763090297,21.980988593155892,20.752347879948516,7.883792845612396,4.737413265996837,20.94296577946768,10.424601057168307
world_ca_v_lo,CA,225,0.013333333333333334,0.11495340671022204,3.5244444444444443,4.04556390402961,10.587874030075177,11.05552701801824,12.746666666666666,8.210555053448841
world_ch_velospot,CH,1634,1.9106487148102815,3.008149241132712,4.7105263157894735,6.947272279782595,13.3385522609014,20.11831721110353,22.268053855569157,26.490851491490208
