city,slug,N,rho_reg_Lap,rho_heat,rho_random_walk,rho_matern
Bluebikes Boston,boston_bluebikes,493,0.8278213543975286,0.8047331346263508,0.8230962716702743,0.8140462976186209
Capital Bikeshare DC,dc_capitalbikeshare,765,0.8095661800819224,0.8027899572763554,0.8008992783362618,0.8035593225495358
Divvy Chicago,chicago_divvy,1337,0.7346190952366124,0.7301529153804507,0.7328682246334032,0.7297955430813136
Bay Wheels SF,sf_baywheels,552,0.8064698784543399,0.7906377825162962,0.7992169138335894,0.7953374410397872
BIXI Montréal,montreal_bixi,717,0.7887826500036569,0.7807971549860068,0.783810266160679,0.7825051641399358
