N_train,rho_mean,rho_sd,n_reps
25,0.6128359970096083,0.058047689147850974,15
50,0.6742007699552562,0.035511731568630106,15
100,0.7278491652450063,0.023864573192201723,15
150,0.7563541833758144,0.023876442150288127,15
200,0.7619429666188714,0.01979955017464815,15
250,0.7879135040989521,0.020960790877569614,15
300,0.7841247390986074,0.019163984374939595,15
350,0.7947449576122917,0.028410682180127312,15
397,0.7960653859062198,0.029681879002765657,15
