city,N,K_deployed,rho_d_optimal,rho_random_mean,rho_random_sd,rho_top_imd,rho_oracle,frac_d_optimal,frac_random_mean,frac_top_imd,frac_oracle
Bluebikes Boston,493,50,0.7097538076159774,0.04684259461447086,0.15498719839143352,-0.041148975088690934,0.06471808417101209,0.08853704579707446,0.10358472424678088,0.08788804622608871,0.24175589356943955
Capital Bikeshare DC,765,50,0.7710177498663767,0.15916137802711222,0.13037042701412008,-0.06403268844577777,0.029006504554360258,0.04681336528313664,0.06582125782309717,0.06730435791478792,0.16230970522683194
Divvy Chicago,1337,50,0.5404073441410249,0.08018158764783768,0.1173850284525561,0.1061410275030556,-0.03894210500015935,0.030520842497288987,0.03721827297985396,0.07653211574984638,0.11009732467191254
Bay Wheels SF,552,50,0.7077174806921053,0.11615146545120751,0.14323172972037623,0.13565319763204298,0.3097445723703716,0.0763386652177074,0.09121101664257913,0.12091983886817584,0.20486717290984505
